-0.083698,1.3717
-0.08558,1.3725
-0.086716,1.3729
-0.087017,1.3733
-0.086357,1.3736
-0.084891,1.3736
-0.08283,1.3736
-0.080337,1.3733
-0.077261,1.3727
-0.073729,1.3715
-0.069659,1.3699
-0.064786,1.3682
-0.058912,1.3665
-0.052236,1.3651
-0.044958,1.3639
-0.037564,1.3629
-0.030093,1.3623
-0.022625,1.3621
-0.015176,1.3621
-0.0077784,1.3624
-0.00038065,1.363
0.0070427,1.3636
0.014481,1.3641
0.022013,1.3648
0.02965,1.3655
0.037529,1.3663
0.045307,1.3672
0.052909,1.3683
0.060245,1.3694
0.067301,1.3705
0.073992,1.3717
0.080755,1.3731
0.086869,1.3745
0.092432,1.376
0.097422,1.3774
0.10172,1.3786
0.10537,1.3797
0.10841,1.3802
0.11101,1.3809
0.11263,1.3814
0.11351,1.3816
0.11384,1.3817
0.11374,1.3818
0.1122,1.3809
0.11145,1.3808
0.10989,1.3808
0.1076,1.3808
0.10463,1.3809
0.10103,1.3806
0.094938,1.3787
0.089968,1.3773
0.083716,1.3754
0.07662,1.3733
0.068987,1.371
0.061239,1.3689
0.051649,1.366
0.043791,1.3641
0.035292,1.3625
0.026687,1.3611
0.018554,1.3597
0.010939,1.3584
0.0027309,1.3564
-0.0043584,1.3551
-0.011231,1.3543
-0.017937,1.354
-0.024585,1.3541
-0.031072,1.3545
-0.037806,1.3547
-0.04391,1.355
-0.050214,1.3553
-0.056442,1.3556
-0.062542,1.3558
-0.068564,1.356
-0.074163,1.3561
-0.079618,1.3565
-0.084426,1.357
-0.088265,1.3577
-0.091422,1.3586
-0.094034,1.3595
-0.095413,1.3602
-0.096134,1.361
-0.096005,1.3619
-0.094923,1.363
-0.092783,1.364
-0.089752,1.3648
-0.085877,1.3651
-0.081984,1.3653
-0.078048,1.3651
-0.074029,1.3646
-0.069637,1.3637
-0.064894,1.3628
-0.059434,1.3621
-0.054005,1.3616
-0.048467,1.3611
-0.042601,1.3608
-0.036401,1.3606
-0.029842,1.3606
-0.022515,1.3608
-0.014752,1.3611
-0.0063799,1.3616
0.0022443,1.3621
0.010677,1.3628
0.018987,1.3638
0.027719,1.3654
